会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
東邦アセチレン,4093,化学,スタンダード（内国株式）,JP,2025-03-31,宮城県,14614326272.0,0.78175604,,13.211701,9.148492803173962,0.4403,0.022113021,31.79,,40.73884892086331,34804369000.0,1914690000.0,0.06087,1287422000.0,0.03625,0.06696,0.5440881854667049,13249629000.0,10881207000.0,19489581000.0,3836799000.0,9495192000.0,2210125000.0,7787039500.0,0.5328360237118429
日本化学産業,4094,化学,スタンダード（内国株式）,JP,2025-03-31,東京都,51823685632.0,1.0536975,,21.881678,15.00729768382671,0.73980004,0.03409091,121.7,,88.80988535031847,25441423000.0,2860916000.0,0.12792,2357304000.0,0.09445,0.05292,0.8559027124305363,7825047000.0,5663603000.0,28502318000.0,263800000.0,15418395000.0,8854753000.0,26875598100.0,0.5185968109416923
日本パーカライジング,4095,化学,プライム（内国株式）,JP,2025-03-31,東京都,169278210048.0,0.87673527,,13.869391,10.02658853617961,0.4443,0.01607717,112.55,,114.43000030936167,132281000000.0,15001000000.0,0.11587,13112000000.0,0.094469994,0.06325,0.7304658559401309,43953000000.0,32617000000.0,137868000000.0,450000000.0,77808000000.0,34482000000.0,118052400000.0,0.6973868637110792
高圧ガス工業,4097,化学,プライム（内国株式）,JP,2025-03-31,大阪府,61275787264.0,0.74969757,,12.562245,10.547233383273252,0.3396,0.017857144,88.36,,81.57000023856915,98983000000.0,5975000000.0,0.06288,4784000000.0,0.04319,0.053200003,0.6416166642275233,43303000000.0,29468000000.0,64644000000.0,11591000000.0,29985000000.0,13655000000.0,30899500000.0,0.5042693269181985
チタン工業,4098,化学,スタンダード（内国株式）,JP,2025-03-31,山口県,3354539264.0,0.6452255,,36.626583,-1.880488909414019,0.32490003,0.008613264,30.77,,-566.4306875962806,7794000000.0,165000000.0,0.01993,200000000.0,0.00525,0.010629999,0.3651372212692967,8342000000.0,4947000000.0,7105000000.0,6529000000.0,825000000.0,534000000.0,-863200000.0,-0.257322968093898
四国化成ホールディングス,4099,化学,プライム（内国株式）,JP,2024-12-31,香川県,223166529536.0,2.382377,27.374004,26.738523,10.61166769496611,0.2848,0.0,192.98,188.5,191.3799998540709,,,0.14228,,0.11964,0.09482,0.6138543883027675,51661000000.0,30516000000.0,80288000000.0,30592000000.0,33789000000.0,24023000000.0,45443100000.0,0.203628653877818
オリオンビール,409A,食料品,プライム（内国株式）,JP,2025-03-31,沖縄県,54679859200.0,3.039687,,11.709972,,0.0,0.0,113.92,,,26009000000.0,2851000000.0,0.18777001,4649000000.0,0.25293,0.33201998,0.3728157248157248,31908000000.0,11938000000.0,18166000000.0,17066000000.0,13203000000.0,2633000000.0,-11898900000.0,-0.2176102896768249
戸田工業,4100,化学,スタンダード（内国株式）,JP,2025-03-31,広島県,8093707776.0,0.7314903,2.598849,,-2.904433119240436,0.0,0.0,-482.86,538.7,-620.08658008658,31667000000.0,-646000000.0,0.02789,-3563000000.0,-0.09894,-0.23153,0.2195887275023681,38895000000.0,20179000000.0,25807000000.0,27764000000.0,8078000000.0,3374000000.0,-10726200000.0,-1.3252517013038252
丸尾カルシウム,4102,化学,スタンダード（内国株式）,JP,2025-03-31,兵庫県,3111221248.0,0.30997896,,19.417088,13.263940825097045,0.3989,0.020026702,75.14,,108.04001584820404,12843448000.0,5725000.0,0.023710001,148628000.0,0.01591,0.02211,0.5810005364032506,6660814000.0,3241613000.0,8564328000.0,2301323000.0,2389815000.0,4551328000.0,5089443600.0,1.6358346752972548
伊勢化学工業,4107,化学,スタンダード（内国株式）,JP,2024-12-31,東京都,358252806144.0,9.269099,7.3114924,56.181572,32.2242579126405,0.3109,0.0,125.13,961.5,99.5094191522763,,,0.21495001,,0.16552,0.17181998,0.7860157786568253,9683000000.0,8189000000.0,28085000000.0,560000000.0,5688000000.0,,18402000000.0,0.0513659619252313
