会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
北恵,9872,卸売業,スタンダード（内国株式）,JP,2024-11-30,大阪府,8289280512.0,0.6817564,,12.390731,9.236244938902752,0.3886,0.027995521,72.07,,87.58654957145568,61286027000.0,920395000.0,0.012159999,718919000.0,0.01298,0.06053,0.4798382133182774,15127730000.0,14284358000.0,25565683000.0,0.0,11848948000.0,778091000.0,10982616700.0,1.3249179689480872
コックス,9876,小売業,スタンダード（内国株式）,JP,2025-02-28,東京都,6906004992.0,0.6655716,,6.229753,5.663117132576321,0.0,0.0,40.13,,41.320000014470196,15302247000.0,1263448000.0,0.08509,1196567000.0,0.07343,0.11418,0.67276006226306,4334954000.0,3390639000.0,8073374000.0,,3889391000.0,2890321000.0,5761644700.0,0.8342948935997525
セキド,9878,小売業,スタンダード（内国株式）,JP,2025-03-31,東京都,1755804672.0,1.6061444,,,51.38221961469192,0.0,0.017793594,-339.38,,16.639997384533512,7494389000.0,-276784000.0,-0.047670003,-545377000.0,-0.028399998,-0.2789,0.04893601631172589,4536171000.0,3584519000.0,3551968000.0,3106657000.0,504166000.0,124088000.0,-897341400.0,-0.5110713135179538
イノテック,9880,電気機器,プライム（内国株式）,JP,2025-03-31,神奈川県,33139494912.0,1.4166901,65.59036,27.54782,16.97090942221343,0.7087,0.0248315,98.81,41.5,109.45999981332866,41977111000.0,1887432000.0,0.076859996,1200300000.0,0.03672,0.06813,0.5412840353964996,20875795000.0,19167026000.0,29711605000.0,9616272000.0,6532327000.0,2648107000.0,10689484900.0,0.32256028428874084
イエローハット,9882,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,146951045120.0,1.1936584,,13.262783,8.470173549982807,0.47529998,0.035776615,129.46,,110.58999985910798,154066000000.0,15451000000.0,0.13582,11260000000.0,0.07175,0.09849,0.6499690085428625,64941000000.0,58827000000.0,76789000000.0,35062000000.0,31251000000.0,11341000000.0,19786700000.0,0.13464824277937057
シャルレ,9885,卸売業,スタンダード（内国株式）,JP,2025-03-31,,5275322880.0,0.3904028,,,12.856778958573301,0.7025,0.022857143,-69.41,,36.94347963372277,11548000000.0,-961000000.0,0.0069199996,-1012000000.0,-0.28403,-0.23035999,0.8750778816199377,2406000000.0,1587000000.0,12234000000.0,13000000.0,8311000000.0,2325000000.0,11455500000.0,2.1715258498073204
松屋フーズホールディングス,9887,小売業,プライム（内国株式）,JP,2025-03-31,東京都,116476837888.0,2.4029508,,43.29035,36.593685542727265,0.1697,0.0019323671,141.14,,152.93999772335155,154223084000.0,4406725000.0,0.07324,2185996000.0,0.01872,0.07067,0.4379566329938503,58539646000.0,25999001000.0,33968372000.0,35370848000.0,16867291000.0,102940000.0,-24499216000.0,-0.21033551772376907
ＵＥＸ,9888,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,9355475968.0,0.50510067,,12.722913,9.317564359775037,0.4946,0.02117647,66.73,,117.61580386787736,50280989000.0,1771818000.0,0.028010001,927643000.0,0.01219,0.03338,0.33662190822736543,34421333000.0,30072880000.0,39960632000.0,12147453000.0,6716174000.0,2882646000.0,7557151200.0,0.8077783776954703
ＪＢＣＣホールディングス,9889,情報・通信業,プライム（内国株式）,JP,2025-03-31,東京都,92474589184.0,3.2860289,4.3336563,18.116823,15.53053310362318,0.45150003,0.027450258,74.13,309.9,50.85310024880521,69868000000.0,6159000000.0,0.096269995,4603000000.0,0.06815,0.20815,0.5438087527549139,20285000000.0,16551000000.0,37532000000.0,2688000000.0,17784000000.0,2226000000.0,18805200000.0,0.20335532351036045
マキヤ,9890,小売業,スタンダード（内国株式）,JP,2025-03-31,,12356184064.0,0.56400114,,7.9806137,7.372089636762074,0.1778,0.010080645,154.75,,145.67194230191325,89448024000.0,2266706000.0,0.028889999,1497158000.0,0.01465,0.06448,0.5221366021862444,19032050000.0,12743622000.0,12905928000.0,6269905000.0,4455840000.0,1420989000.0,-5131429700.0,-0.4152924295576437
