会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,62237257728,0.84119934,18.23243,9.090909,6.540848891265951,0.22559999,0.024621213,576.4,287.4,548.6136783733826,302681000000.0,11080000000.0,0.044689998,6740000000.0,0.0,,0.3652267498366435,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.4873624113157841
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,JP,2024-12-31,東京都,3094353408,1.734621,,,,0.0,0.0,-51.13,,,194643000.0,-212850000.0,-4.32034,-236442000.0,0.0,-0.21319,0.9824758843873473,39410000.0,39410000.0,2232073000.0,,2173358000.0,,2192663000.0,0.708601349261267
ニッスイ,1332,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,446266245120,1.5714353,16.56535,16.778791,11.834896725679725,0.3418,0.019769358,87.7,88.83,76.66999989893061,886126000000.0,31783000000.0,0.049089998,25381000000.0,0.03085,0.1066,0.4363657269585653,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.011083294006854595
マルハニチロ,1333,水産・農林業,プライム（内国株式）,JP,2025-03-31,東京都,225556758528,0.9421143,5.6881437,10.288236,6.812013965880467,0.2529,0.024028178,145.02,262.3,137.8699996778207,1078631000000.0,30382000000.0,0.03536,23264000000.0,0.01611,0.08513,0.33699984292678775,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.17747062983719383
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,JP,2025-02-28,東京都,27485837312,18.609226,,76.91868,208.32058162532823,0.0,0.0,34.92,,32.69000089606134,2144641000.0,594987000.0,-0.036140002,425072000.0,0.13646,,0.7590650897301636,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.03959999426776786
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,JP,2025-03-31,新潟県,43671691264,3.0031428,6.93038,51.822056,30.64769790717231,0.7579,0.014625229,21.13,158.0,33.84731101918014,53139000000.0,2420000000.0,0.51014,1502000000.0,0.03839,0.1008,0.32655540297876834,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.31397455887638326
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,JP,2025-05-31,群馬県,16580845568,0.65859884,,13.004214,13.174118542927113,0.32700002,0.024787998,116.27,,103.28880898088055,64508666000.0,1511651000.0,0.0072899996,1200256000.0,0.01991,0.05234,0.5071656318283071,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.9381675944212015
サカタのタネ,1377,水産・農林業,プライム（内国株式）,JP,2025-05-31,神奈川県,179392413696,1.0799983,20.123253,15.872719,9.039632492444692,0.2992,0.018779343,267.44,210.95,365.2200012116753,92920000000.0,12258000000.0,0.099709995,9711000000.0,0.11773,0.07039,0.844585466997581,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.5437955707832431
ホクト,1379,水産・農林業,プライム（内国株式）,JP,2025-03-31,長野県,62003445760,0.99977136,,11.2486515,16.661453703220026,0.284,0.0249004,176.11,,106.37999937711115,83104000000.0,6628000000.0,0.16868,4441000000.0,0.07396,0.107080005,0.5278479836461625,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.10209432592670153
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,JP,2025-05-31,,2173134336,5.875767,,11.68156,34.798378716452746,,0.0,,,46.869999699981996,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.3921069148299537
