会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
日本製紙,3863,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,143952723968.0,0.2966805,10.330818,8.150183,5.851842936052319,0.09810001,0.012,152.88,120.61,197.0899995579403,1182431000000.0,19708000000.0,0.02009,4539000000.0,0.010319999,0.02888,0.2829928586022023,1192875000000.0,479192000000.0,638305000000.0,874926000000.0,185941000000.0,172984000000.0,-433481200000.0,-3.0112747300034473
三菱製紙,3864,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,34565324800.0,0.41919076,14.611111,10.493417,6.1103602899119425,0.19940001,0.019059721,75.19,54.0,95.28000015902849,175942000000.0,4567000000.0,-0.029690001,4343000000.0,-0.00065,-0.00107,0.40944783567143894,122937000000.0,88882000000.0,91512000000.0,72334000000.0,6239000000.0,24813000000.0,-14055900000.0,-0.4066474156204081
北越コーポレーション,3865,パルプ・紙,プライム（内国株式）,JP,2025-03-31,東京都,153597427712.0,0.5701582,9.139139,13.22805,36.130995124201675,0.34759998,0.025889968,69.02,99.9,49.840000050868056,305718000000.0,19728000000.0,0.04586,15529000000.0,0.036340002,0.04042,0.6329395868048758,153014000000.0,82005000000.0,179486000000.0,90630000000.0,27644000000.0,30608000000.0,47897600000.0,0.3118385555896776
みのや,386A,小売業,スタンダード（内国株式）,JP,2024-06-30,埼玉県,5429130240.0,1.4574847,,21.2322,,0.0,0.0,70.93,,,22540002000.0,967665000.0,0.03603,714244000.0,0.01017,,0.32541649810982043,5182736000.0,3554514000.0,3233742000.0,2247262000.0,1108145000.0,176398000.0,-1825515400.0,-0.3362445399725758
中越パルプ工業,3877,パルプ・紙,プライム（内国株式）,JP,2025-03-31,,25244170240.0,0.43081403,,35.208553,6.124215845973323,1.3155999,0.037406486,57.06,,285.81357633794113,111009000000.0,4848000000.0,-0.00296,1761000000.0,0.0028600001,-0.01107,0.4666989367288002,65948000000.0,52103000000.0,54612000000.0,37194000000.0,9005000000.0,11651000000.0,-3180300000.0,-0.12598156207015027
巴川コーポレーション,3878,化学,スタンダード（内国株式）,JP,2025-03-31,,8786361344.0,0.5362043,8.220183,15.722056,14.989175597454444,0.26299998,0.016797312,56.99,109.0,57.2748841533509,34432000000.0,1286000000.0,0.029879998,749000000.0,0.0166,0.04081,0.33065723522902335,26460000000.0,18197000000.0,21639000000.0,13882000000.0,4925000000.0,6318000000.0,-398400000.0,-0.04534300200071535
フラー,387A,情報・通信業,グロース（内国株式）,JP,2024-06-30,新潟県,1997981056.0,1.7478209,,12.195627,,0.0,0.0,96.51,,,1517907000.0,12963000.0,0.03656,28777000.0,0.08274,,0.595837630976246,520762000.0,294523000.0,1137985000.0,228319000.0,886065000.0,19769000.0,631061300.0,0.3158494912175984
大王製紙,3880,パルプ・紙,プライム（内国株式）,JP,2025-03-31,,186249936896.0,0.77799374,21.281855,,42.5066479693306,23.1884,0.0120689655,-20.14,52.58,26.889549605636073,668912000000.0,9808000000.0,0.05487,-11197000000.0,0.00592,0.02016,0.2671572997948234,636355000000.0,266702000000.0,360882000000.0,444637000000.0,113189000000.0,21382000000.0,-260505600000.0,-1.3986882591292558
ニッポン高度紙工業,3891,パルプ・紙,スタンダード（内国株式）,JP,2025-03-31,,41870438400.0,1.6617894,17.894974,22.779436,12.656282241967352,0.4305,0.00862069,174.28,221.85,138.95616606902362,16033765000.0,2460651000.0,0.18974,1781054000.0,0.12578,0.091529995,0.6777371261510852,11365995000.0,6768881000.0,17507454000.0,8286943000.0,4126719000.0,302683000.0,6353337100.0,0.15173801237294904
岡山製紙,3892,パルプ・紙,スタンダード（内国株式）,JP,2025-05-31,岡山県,8565239808.0,0.62036055,,11.49411,5.583858134350537,0.3118,0.0,160.43,,250.19680710870952,11522767000.0,1032592000.0,0.09794,798698000.0,0.06651,0.05661,0.7800839845409626,3649183000.0,2906595000.0,10140417000.0,38694000.0,2866006000.0,3656133000.0,9050527100.0,1.0566577589043962
