会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アビスト,6087,サービス業,スタンダード（内国株式）,JP,2025-09-30,東京都,13608720384.0,1.8376892,20.30879,20.964874,20.253778558748778,0.62479997,0.029737609,163.13,168.4,153.5500157937073,10627251000.0,953682000.0,0.08366,649573000.0,0.06112,0.091070004,0.758038674242401,2363741000.0,1555743000.0,6043993000.0,10000000.0,4143252000.0,1188234000.0,4512015800.0,0.3315532741274376
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,55951740928.0,3.819843,5.671093,13.087894,21.446664700120177,0.4048,0.030612245,51.88,119.73,38.36123385725899,26293590000.0,5638919000.0,0.24620001,4394662000.0,0.17503001,0.30336002,0.7229704627414348,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,10722434100.0,0.19163718451223666
ウィルグループ,6089,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,29351389184.0,1.4940083,,16.339285,8.302995054438615,0.56130004,0.033820137,78.4,,121.54357717885894,139705000000.0,2339000000.0,0.0327,1155000000.0,0.01411,0.10308,0.348376499809707,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,-4500000000.0,-0.15331471951089237
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,JP,2025-06-30,山形県,4034974208.0,2.239778,21.150442,16.418594,15.247945771606583,0.3435,0.020408163,43.67,33.9,41.13787363897207,1455004000.0,249521000.0,0.29549998,256420000.0,0.14406,0.110369995,0.803752368286626,466011000.0,449943000.0,1864807000.0,110468000.0,1562417000.0,49980000.0,1433782000.0,0.3553385786598812
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,JP,2024-07-31,岡山県,11777785856.0,0.7415231,,15.821428,10.144063876668623,0.4284,0.02669633,56.0,,45.722799864084266,15725320000.0,942252000.0,0.02394,768062000.0,0.05175,0.05284,0.779261425491288,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,10410570400.0,0.8839157484508436
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,5240447488.0,0.59473366,,9.008633,6.652693341308779,0.12529999,0.014106583,71.82,,88.84515488522749,10668079000.0,839455000.0,0.13307999,452689000.0,-0.015310001,-0.02325,0.43129400425796366,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-2421100300.0,-0.46200258766909336
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,JP,2025-02-28,東京都,7665011200.0,2.200055,16.761906,31.37255,19.310042049777532,1.0695,0.033519555,5.61,10.5,6.871333832273372,4741362000.0,482405000.0,0.10023,349113000.0,0.04002,0.05551,0.7468997457208667,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2444474500.0,0.3189133631011524
フリークアウト・ホールディングス,6094,サービス業,グロース（内国株式）,JP,2025-09-30,東京都,12389452800.0,1.0398195,15.986547,45.04106,-3.9999431092574214,0.0,0.0,15.83,44.6,-179.75255656410584,50323355000.0,14013116000.0,0.04083,275472000.0,0.01506,0.05408,0.27230212288382094,28067092000.0,18757618000.0,29397643000.0,17431123000.0,16367521000.0,4004720000.0,4133855000.0,0.33365920728960685
レアジョブ,6096,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,2993220864.0,1.4899725,24.64567,26.105087,-25.631663092884565,0.41669998,0.016129032,11.99,12.7,-30.485751543458445,9715742000.0,442193000.0,0.02701,268908000.0,0.00754,0.036199998,0.3278891819684764,3959707000.0,2440109000.0,3444468000.0,2100389000.0,2552993000.0,2524000.0,-513472200.0,-0.17154504239083107
リクルートホールディングス,6098,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,8783503818752.0,5.663501,20.76463,21.141876,29.613758354932298,0.082399994,0.0038661826,297.23,302.63,222.90000003264836,3557478000000.0,490543000000.0,0.19312,408504000000.0,0.12835,0.2732,0.5834902454755195,1144893000000.0,802185000000.0,1470378000000.0,208940000000.0,808625000000.0,163102000000.0,439656400000.0,0.05005478554712672
エラン,6099,サービス業,プライム（内国株式）,JP,2024-12-31,長野県,44878585856.0,3.1072288,12.640545,16.20795,18.569102909322048,0.32770002,0.020408163,45.78,58.7,38.940000231192144,,,0.08031999,,0.04992,0.2082,0.578629505450971,9104117000.0,8918601000.0,16872798000.0,76617000.0,6849398000.0,2558748000.0,9559804600.0,0.2130148358656874
ツガミ,6101,機械,プライム（内国株式）,JP,2025-03-31,東京都,180917944320.0,2.4423633,34.505787,13.869501,9.830895982446625,0.24340001,0.017106919,279.39,112.3,111.03999906144763,107411000000.0,23310000000.0,0.30355,10901000000.0,0.11882,0.24914,0.4940615524798517,43192000000.0,38317000000.0,102799000000.0,11524000000.0,27729000000.0,4859000000.0,63008300000.0,0.3482700416303293
オークマ,6103,機械,プライム（内国株式）,JP,2025-03-31,愛知県,271989800960.0,1.1366924,16.32144,25.839869,10.87923902956281,0.5728,0.011025358,174.73,276.63,314.8923649284221,206822000000.0,14651000000.0,0.07151,9590000000.0,0.047399998,0.044,0.7629893214563602,60104000000.0,42737000000.0,184600000000.0,10000000000.0,53079000000.0,34033000000.0,148319100000.0,0.5453112560710041
芝浦機械,6104,機械,プライム（内国株式）,JP,2025-03-31,東京都,106648215552.0,0.8880986,8.993917,18.450335,4.666712871927943,0.57240003,0.030871004,244.44,501.45,741.5023192843609,168191000000.0,14100000000.0,-0.0064600003,12597000000.0,0.017690001,0.01891,0.5870034618024418,82437000000.0,71472000000.0,151150000000.0,10135000000.0,36388000000.0,11754000000.0,76940800000.0,0.7214447949434735
アマダ,6113,機械,プライム（内国株式）,JP,2025-03-31,神奈川県,783861350400.0,1.496132,19.608454,29.324623,13.68406252233343,0.72290003,0.02421402,85.73,128.21,118.95000009132437,396670000000.0,49076000000.0,0.1012,32386000000.0,0.0,,0.7989216653254161,126142000000.0,106809000000.0,414511000000.0,10954000000.0,104841000000.0,18033000000.0,300992100000.0,0.3839864025014187
アイダエンジニアリング,6118,機械,プライム（内国株式）,JP,2025-03-31,神奈川県,62946320384.0,0.7417092,15.051948,12.180767,18.039800469582453,0.38869998,0.031759657,95.15,77.0,46.949999771770834,76006000000.0,5530000000.0,0.05876,5101000000.0,0.065359995,0.06145,0.6807312269049828,39226000000.0,33201000000.0,88927000000.0,3120000000.0,35856000000.0,10496000000.0,57048200000.0,0.9062992030666941
岡本工作機械製作所,6125,機械,スタンダード（内国株式）,JP,2025-03-31,群馬県,31135571968.0,0.755086,5.9178286,13.755037,6.2821390824239325,0.4672,0.01714898,342.42,795.9,969.8255676331999,43734000000.0,3016000000.0,-0.0162,2024000000.0,0.03773,0.0399,0.607179210825699,26242000000.0,19874000000.0,47214000000.0,11819000000.0,9899000000.0,404000000.0,21254800000.0,0.6826532694451511
ＦＵＪＩ,6134,機械,プライム（内国株式）,JP,2025-03-31,愛知県,492403097600.0,2.140143,30.030561,33.898205,22.917307594062674,0.48459998,0.013900956,165.23,186.51,110.59000008730231,127387000000.0,13781000000.0,0.19387,10906000000.0,0.0,,0.8946739312863043,25610000000.0,22256000000.0,155427000000.0,,57580000000.0,20962000000.0,144490400000.0,0.2934392588191549
牧野フライス製作所,6135,機械,プライム（内国株式）,JP,2025-03-31,東京都,273216684032.0,1.0865873,21.27311,17.762096,9.147751826510564,0.1521,0.00855432,657.58,549.05,670.5499907165267,234216000000.0,18517000000.0,0.115609996,14415000000.0,0.070089996,0.07453,0.6165155011620082,140389000000.0,97610000000.0,228604000000.0,57200000000.0,64055000000.0,25226000000.0,105873200000.0,0.38750635004266354
オーエスジー,6136,機械,プライム（内国株式）,JP,2024-11-30,愛知県,232377876480.0,1.2851117,14.774093,18.518396,11.221726057206805,0.3932,0.020946063,152.74,191.45,149.28202825726092,155517000000.0,18869000000.0,0.14725,13439000000.0,0.08924,0.07925,0.6477205585098113,77848000000.0,27461000000.0,144453000000.0,49097000000.0,55774000000.0,6351000000.0,71050700000.0,0.30575501022841606
小池酸素工業,6137,機械,スタンダード（内国株式）,JP,2025-03-31,東京都,43972931584.0,1.0075798,,16.529123,8.282761760731642,0.4127,0.025365854,126.02,,145.55846630150035,55206000000.0,5453000000.0,0.110860005,3633000000.0,0.04792,0.064229995,0.5693985415133471,29167000000.0,22565000000.0,41686000000.0,7232000000.0,16984000000.0,11019000000.0,20232300000.0,0.46010805445961506
ダイジェット工業,6138,機械,スタンダード（内国株式）,JP,2025-03-31,大阪府,3521310464.0,0.40949872,,9.794198,-18.548919306288123,0.2066,0.020973155,120.99,,-44.0724312926713,8793113000.0,219183000.0,0.051,205422000.0,0.06701,0.07388,0.4975815269081181,8016245000.0,3513817000.0,8394425000.0,5314332000.0,1346849000.0,1659690000.0,1539963000.0,0.4373266758906266
旭ダイヤモンド工業,6140,機械,プライム（内国株式）,JP,2025-03-31,東京都,57426567168.0,0.90581715,21.572315,23.698347,22.35091345510035,0.6203,0.026019081,48.4,53.17,40.562372581451704,41006000000.0,2312000000.0,0.0775,2493000000.0,0.08527,,0.8074812379667587,12772000000.0,6640000000.0,34456000000.0,2234000000.0,14752000000.0,10778000000.0,29228600000.0,0.5089734845980338
ＤＭＧ森精機,6141,機械,プライム（内国株式）,JP,2024-12-31,東京都,420698488832.0,1.2221696,10.430947,88.50284,45.033148834783375,3.1176002,0.0,33.53,284.49,54.4473593030738,,,0.04526,,0.046669997,0.02116,0.39435182248011763,481088000000.0,399420000000.0,317711000000.0,106450000000.0,41747000000.0,19296000000.0,-149869800000.0,-0.35624040489446207
ソディック,6143,機械,プライム（内国株式）,JP,2024-12-31,神奈川県,68276641792.0,0.75425714,59.019264,16.18053,8.802109918817873,0.3479,0.020893373,83.31,22.84,81.05999925223874,,,0.046230003,,0.056020003,0.0515,0.581924644638017,60568000000.0,34440000000.0,101522000000.0,37153000000.0,47762000000.0,6657000000.0,45613900000.0,0.6680747441996275
西部電機,6144,機械,スタンダード（内国株式）,JP,2025-03-31,福岡県,43311702016.0,1.3419752,,13.158015,12.172978050312974,0.3854,0.014522822,217.89,,130.93582356447448,33352000000.0,3193000000.0,0.13325,2350000000.0,0.09317,0.112799995,0.6634849496886513,15618000000.0,11788000000.0,23409000000.0,416000000.0,8436000000.0,5571000000.0,11690700000.0,0.2699201244892495
ＮＩＴＴＯＫＵ,6145,機械,スタンダード（内国株式）,JP,2025-03-31,埼玉県,43418042368.0,1.1035776,23.36542,17.094074,12.53352056081041,0.3389,0.0080061,150.52,110.12,151.88345446739942,33268000000.0,1120000000.0,0.15975,1307000000.0,0.07101,0.07749,0.6023007531242242,23815000000.0,16328000000.0,41527000000.0,8033000000.0,14907000000.0,2999000000.0,19811300000.0,0.4562918758999908
